Name,Rating,Description,Prep Time,Cook Time,Total Time,Servings,Ingredients,Image URL,prep_mins,cook_mins,total_mins,wait_mins,Category Code,Category Name,Category Description,directions
Chocolate Soufflé,4.8,An individual chocolate soufflé is visually impressive and perfect for your special someone. Dust the cooked chocolate soufflés with a bit of cocoa powder just before serving if you like.,25 mins,25 mins,50 mins,2,"1 teaspoon melted butter, or as needed | 2 tablespoons white sugar | 2 ounces 70% dark chocolate, broken into pieces | 1 tablespoon butter | 1 tablespoon all-purpose flour | 4 ½ tablespoons cold milk | 1 pinch salt | 1 pinch cayenne pepper | 1 large egg yolk | 2 large egg whites | 1 pinch cream of tartar | 1 tablespoon white sugar, divided",,25.0,25.0,50.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat oven to 300°F. Blend cream and cream cheese together in a double boiler over low heat. Add chocolate pieces and stir until melted. Cool. In a bowl beat egg yolks and salt until thick and lemon-colored. Gradually blend in the chocolate mixture. In a separate bowl beat egg whites with an electric mixer until soft peaks form. Gradually add sugar, beating until stiff peaks form. Fold in chocolate mixture. Pour into greased 4 cup (1 L) souffle dish. Bake in oven for 45 minutes or until inserted toothpick comes out clean. Serve immediately."
Doggie Biscuits II,4.9,Wholesome dog biscuits made with 4 different grains and flavored with yeast and chicken broth.,30 mins,45 mins,14 hrs 35 mins,18,3 ½ cups all-purpose flour | 2 cups whole wheat flour | 1 cup rye flour | 2 cups bulgur | 1 cup cornmeal | ½ cup dry milk powder | 4 teaspoons salt | 1 (.25 ounce) package active dry yeast | ¼ cup warm water | 2 ½ cups chicken broth | 1 egg | 1 tablespoon milk,https://www.allrecipes.com/thmb/YrQqS8ynuSa29cz_j-D1Clczej8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8244550-4becb9d55f0f4bdea635eaa01e83a9d6.jpg,30.0,45.0,875.0,800.0,E,Long Wait,Wait time > 30 min,"- Preheat the oven to 325 degrees F (165 degrees C). Dissolve yeast in warm water until foamy, about 10 minutes.
- In a large bowl, stir together the all-purpose, whole wheat, and rye flours with the bulgur, cornmeal and powdered milk. Stir in the yeast mixture, salt and chicken broth to form a stiff dough. Add more broth if necessary to hold dough together. Roll dough out to 1/4 inch thickness on a lightly floured surface. Cut into desired shapes using a cookie cutter. Place biscuits 1 inch apart onto an ungreased cookie sheet. Combine the egg and milk; brush onto the tops of the biscuits.
- Bake in the preheated oven for 45 minutes, then turn off the oven and let the biscuits sit in the closed oven overnight to become extra hard and crunchy."
Loaded Gnocchi Soup,4.0,"Think loaded baked potato soup, but with gnocchi and ready in 20 minutes...",5 mins,10 mins,20 mins,6,"1 tablespoon vegetable oil | 1 medium onion, diced | ½ teaspoon celery seed | 4 cups vegetable broth | 1 (16 ounce) package fresh gnocchi | ½ cup half-and-half | 8 slices cooked bacon, crumbled, divided | 1 cup shredded sharp Cheddar cheese, divided | 2 tablespoons chopped fresh chives | salt and ground black pepper to taste",https://www.allrecipes.com/thmb/B_nfAR8HLlAO4DUgLsx-m9xcb0E=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8047971-49f562a4532341c983538595cb464090.jpg,5.0,10.0,20.0,5.0,D,Short Wait,Wait time 1-30 min,
Brown Butter Blondies,5.0,"Brown butter, chocolate chips, and chopped nuts. What else could you ask for in a blondie?",15 mins,40 mins,1 hr,18,"1 cup all-purpose flour | ⅛ teaspoon baking powder | ⅛ teaspoon salt | ½ cup butter | 1 cup brown sugar, packed | 2 eggs | ½ teaspoon vanilla extract | ½ cup chopped walnuts | ½ cup semisweet chocolate | 1 teaspoon powdered sugar, or to taste",https://www.allrecipes.com/thmb/J0TFB9DqvJag_fDEng5ctfbuPs0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6979849-31464b9f94ea4cf1adace74459b115a6.jpg,15.0,40.0,60.0,5.0,D,Short Wait,Wait time 1-30 min,"- Preheat oven to 350F Lightly grease a 9 x 13 inch pan.
- Brown 1/2 cup butter over low-medium heat until light brown and nutty (approximately 15 minutes).
- Beat together brown butter, remaining 1/2 room temperature butter, sugar, egg and vanilla until smooth.
- Sift together flour, baking powder and 1 tsp salt and stir into wet ingredients until blended.
- Spread into pan.
- Evenly sprinkle remaining 1 tsp salt over top.
- Bake 25-30 minutes or until toothpick comes out moist and clean.
- Cool slightly.
- While still warm, cut into bars with a sharp knife."
Chocolate Swiss Roll,4.4,This chocolate Swiss roll is a simpler and smaller version of Beth Le Manach's bûche de Noël. It takes time but is worth the effort.,30 mins,10 mins,2 hrs 40 mins,6,"cooking spray | ¼ cup all-purpose flour | ¼ cup cocoa powder, plus more for dusting | ¼ teaspoon salt | ⅛ teaspoon baking soda | 3 large eggs | ¼ cup white sugar | ½ teaspoon vanilla extract | 2 ½ tablespoons melted butter | ¾ cup heavy cream | 2 teaspoons powdered sugar | ½ teaspoon vanilla extract | ⅛ cup chocolate-hazelnut spread (such as Nutella)",https://www.allrecipes.com/thmb/eLtlFC5U1UbnIsLz0veCt05Xj-I=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/101300_ChocolateSwissRoll4x3-02106642260d43ef89e9c5474619e0cc.jpg,30.0,10.0,160.0,120.0,E,Long Wait,Wait time > 30 min,"- Whisk eggs.sugar.vanilla till color become light yellow
- Add flour .baking powder and cocoa
- Then in large pan puy baking sheet and the mix
- For the cream i used buttercream and rasberry"
3-Ingredient Peanut Butter Cookies,4.6,"These 3-ingredient peanut butter cookies are one of my favorite cookies to make. They are the only peanut butter cookies my family will eat! Sprinkle a pinch of sugar on cookies before baking, if desired.",15 mins,10 mins,25 mins,24,1 cup peanut butter | 1 cup white sugar | 1 large egg,,15.0,10.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Preheat oven to 350 degrees F (175 degrees C).
- Mix peanut butter, sugar, and egg together in a bowl using an electric mixer until smooth and creamy. Roll mixture into small balls and arrange on a baking sheet; flatten each with a fork, making a criss-cross pattern.
- Bake in the preheated oven for 10 minutes. Cool cookies on the baking sheet for 2 minutes before moving to a plate."
Dark Honey Pecan Granola,2.5,"This makes many and more servings. Honey, pecans, and coconut flakes combine with rolled oats and bake at a higher temperature for a darker-colored, deeper-flavored granola sure to please. Store in an airtight container.",10 mins,1 hr 17 mins,2 hrs 27 mins,96,15 cups rolled oats | 5 cups pecan halves | 3 cups unsweetened coconut flakes | 1 cup flax seeds | 2 cups honey | 2 cups white sugar | 1 cup coconut oil | 1 tablespoon sea salt | 1 tablespoon vanilla extract,https://www.allrecipes.com/thmb/n1vNady1MDVY3ecv8VedCxRsmFw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8095988-a7a0c617a6d34e1b983151d3c1a42f53.jpg,10.0,77.0,147.0,60.0,E,Long Wait,Wait time > 30 min,"- Preheat oven to 375 degrees F (190 degrees C). Line a 13x17-inch baking dish with parchment paper.
- Combine oats, pecan halves, coconut flakes, and flax seeds in the prepared baking dish; mix well.
- Combine honey, white sugar, coconut oil, and salt in a large microwave-safe bowl. Microwave on high until mixture starts to bubble, 2 to 3 minutes. Whisk until honey and coconut oil are well-combined. Stir in vanilla extract.
- Pour honey mixture over oat mixture in the baking dish; stir until evenly distributed.
- Bake in the preheated oven, stirring every 15 minutes, until oats are a deep golden brown, about 1 hour 15 minutes. Allow to cool, about 1 hour. Break oat clusters apart before serving."
Mangorita,4.0,This mangorita recipe makes a Mexican-inspired mango margarita.,5 mins,,5 mins,1,"2 (1.5 fluid ounce) jiggers tequila | 1 (1.5 fluid ounce) jigger triple sec liqueur | 1 (1.5 fluid ounce) jigger fresh lime juice | 1 mango - peeled, seeded, and sliced | 4 ice cubes | ¼ cup mango nectar",https://www.allrecipes.com/thmb/Dr0uMdu8cAxVm_XTZFgcNhCDYPs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/14199-66f5cc64ae084cfca9b81e37fff21366.jpg,5.0,,5.0,0.0,,,,"- In a blender, combine the tequila, triple sec, lime juice, mango, and ice. Blend until ice is finely crushed. Sweeten with mango nectar to your liking."
Crispy Ground Turkey Tostadas,5.0,"These fresh, delicious crispy ground turkey tostadas are made with lots of taco spices, sassy poblano, and tasty pickled red onions.",30 mins,29 mins,59 mins,6,"1 red onion, halved and thinly sliced | ¼ cup Mexican crema | 2 limes | ¼ teaspoon salt | 2 tablespoons vegetable oil, divided | 1 chayote - peeled, halved, seeded, and diced into 1/2-inch pieces | 1 poblano pepper - seeds and white ribs removed, diced into 1/2-inch pieces | 6 (6 inch) flour tortillas | cooking spray | 6 sprigs cilantro, minced, divided | ½ teaspoon onion powder | ¼ teaspoon salt | 1 ¼ pounds ground turkey | ¼ cup water | 3 tablespoons taco seasoning mix | 1 teaspoon chili powder | 1 cup guacamole | ½ cup shredded Cheddar cheese",https://www.allrecipes.com/thmb/PbSQYoIHIomF5D7pWL2ZRiRpPck=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4495419-2e20d0526f4e4ab99fe8787d397ded7c.jpg,30.0,29.0,59.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Preheat the oven to 375 degrees F (190 degrees C).
- Place red onion slices and crema in separate small bowls. Zest limes into another small bowl. Halve limes and squeeze juice into a fourth small bowl.
- Stir 1 teaspoon lime juice into the bowl of crema. Add the remaining lime juice to the bowl with the red onions; stir in 1/4 teaspoon salt and let marinate at room temperature until pickled, at least 20 minutes.
- Heat oil in a skillet over medium heat. Add chayote and poblano pepper; cook, stirring constantly, until golden and tender, about 10 minutes.
- Coat tortillas on both sides with cooking spray. Place tortillas on a large baking sheet.
- Bake in the preheated oven until crisped and lightly brown, 8 to 10 minutes.
- Stir the lime zest, 1/2 the cilantro, onion powder, and 1/4 teaspoon salt into the chayote-poblano mixture. Pour mixture into a bowl.
- Heat remaining 1 tablespoon oil in the same skillet over medium heat. Add ground turkey; cook, stirring occasionally, until browned, about 7 minutes. Stir in 1/4 cup water, taco seasoning, and chili powder. Cook until water has evaporated, about 4 minutes.
- Spread guacamole over each crisped tortilla; top with chayote-poblano mixture, ground turkey, pickled onions, lime crema, and remaining cilantro."
Top Shelf Sparkling Margarita Jell-O,5.0,"For grown-ups only. This recipe is my closest attempt at duplicating the awesome flavor of a cold margarita. It's sweet, tart, salty, and packs a punch. Garnish each serving with a lime wedge. You seriously only need one of these.",15 mins,,4 hrs 30 mins,24,"3 (3 ounce) packages lime-flavored gelatin mix (such as Jell-O®) | 1 (3 ounce) package lemon-flavored gelatin mix (such as Jell-O®) | 2 ½ cups boiling water | 1 ⅔ cups premium tequila | ⅔ cup triple sec | ⅔ cup brandy-based orange liqueur (such as Grand Marnier®) | ½ cup sweetened lime juice | 2 cups sparkling water | 1 lime, zested | 1 pinch margarita salt, or as needed",,15.0,,270.0,255.0,,,,
Tomato Zucchini Casserole,4.8,This simple zucchini tomato casserole perfectly highlights the flavor of these favorite summer vegetables. Buttery bread crumbs add crunch.,20 mins,55 mins,1 hr 15 mins,4,"1 ½ cups grated Cheddar cheese | ⅓ cup grated Parmesan cheese | 2 cloves garlic, minced | ½ teaspoon dried oregano | ½ teaspoon dried basil | salt and pepper to taste | 2 medium zucchini, thinly sliced | 5 plum tomatoes, thinly sliced | ¼ cup butter | 2 tablespoons finely chopped onion | ¾ cup fine bread crumbs",,20.0,55.0,75.0,0.0,C,"Long, No-Wait","Total time > 60 min, no wait","- Layer the tomatoes, zucchini and onions.
- Add salt, pepper and crushed basil.
- Cover with breadcrumbs.
- Sprinkle brown sugar over all.
- Then add cheese.
- Dot casserole with butter.
- Bake, covered, at 350° for 30 minutes.
- Then uncover for 45 minutes more.
- This is an excellent side dish."
Seven-Layer Taco Dip,4.8,"This taco dip recipe is an easy appetizer to prep with layers of refried beans, lettuce, salsa, veggies, and cheese. It's always a big hit at parties and family get-togethers — people gather around the platter until it's gone!",30 mins,,30 mins,56,"1 (16 ounce) can refried beans | 1 (1 ounce) package taco seasoning mix | 1 (16 ounce) container sour cream | 1 (8 ounce) package cream cheese, softened | 1 (16 ounce) jar salsa | 1 large tomato, chopped | 1 medium green bell pepper, chopped | 1 bunch chopped green onions | 1 small head iceberg lettuce, shredded | 2 cups shredded Cheddar cheese | 1 (6 ounce) can sliced black olives, drained",,30.0,,30.0,0.0,,,,
"Baked ""Fried"" Rice",4.6,"This easy oven method for baked ""fried"" rice produces something very similar to classic fried rice, but you don't need leftover rice to make it. Just like rice pilaf, the grains of rice get coated in fat before absorbing the cooking liquid, ensuring plump, tender, separate grains with no sticky clumps. If using a different kind of rice or pan size, just adjust the cooking time. Garnish with green onions and serve with a runny poached egg on top if desired.",25 mins,50 mins,1 hr 25 mins,6,"2 cups long-grain white rice | 2 tablespoons canola oil | 1 tablespoon sesame oil, or to taste | 1 cup diced ham | ½ cup sliced green onions | ½ cup diced red bell peppers | ½ cup diced carrots | ½ cup green peas | 3 cloves garlic, crushed | 1 pinch salt | 3 cups chicken broth | 3 tablespoons soy sauce | 2 teaspoons chile paste (Optional)",,25.0,50.0,85.0,10.0,D,Short Wait,Wait time 1-30 min,
Shortbread Cookies,4.6,This shortbread cookie recipe makes deliciously buttery shortbread cookies using just 4 easy ingredients. They're easy to decorate and perfect for holiday cookie trays.,15 mins,10 mins,25 mins,12,"2 cups butter, softened | 1 cup white sugar | 2 teaspoons vanilla extract | 4 cups all-purpose flour",,15.0,10.0,25.0,0.0,A,"Quick, No-Wait","Total time ≤ 30 min, no wait","- Cream together butter and powdered sugar.
- Add flour gradually.
- Roll dough into small balls and dip in powdered sugar. Place on non-greased cookie sheet and crisscross with a fork. Bake in 300° oven until slightly brown.
- The dough may also be pressed into a shortbread mold."
Rice Cooker Spanish Rice,3.8,"This is a great, easy way to make a delicious side dish when cooking Mexican for dinner. My kids really love it, too. Substitutions for spices and vegetables are fine -- add the tastes that your family likes most. You can make this on the stovetop in a skillet with a lid, as well. Bring all ingredients to a boil and stir well; cover and simmer for 25 minutes or until rice is soft. If you add some of the optional ingredients, this can be an excellent main dish. Try adding chopped green chile peppers. Tastes great with the Enchilada II recipe.",15 mins,20 mins,35 mins,8,"1 (14.5 ounce) can diced tomatoes | 2 cups uncooked white rice | 1 cup tomato sauce | 1 cup chicken broth | 1 cup canned corn, drained (Optional) | ½ cup crumbled cooked bacon (Optional) | ½ cup chopped onion | ½ cup chopped red bell pepper | ½ cup chopped black olives (Optional) | ⅓ cup salsa | 2 teaspoons chili powder | 1 teaspoon cumin",https://www.allrecipes.com/thmb/IfPwZsYU3fAKCOupHAZFUfMhD2o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5152353-7bd551c6fcd948a69a87c01265ea5928.jpg,15.0,20.0,35.0,0.0,B,"Medium, No-Wait","30 < total ≤ 60 min, no wait","- Combine tomatoes, rice, tomato sauce, chicken broth, corn, bacon, onion, red bell pepper, olives, salsa, and chili powder in a rice cooker. Seal the cooker and select rice setting according to manufacturer's instructions; cook until tender, 20 to 25 minutes."
